quota_definition__sid,quota__order_number,quota__geographical_areas,quota__headings,quota__commodities,quota__measurement_unit,quota__monetary_unit,quota_definition__description,quota_definition__validity_start_date,quota_definition__validity_end_date,quota_definition__suspension_periods,quota_definition__blocking_periods,quota_definition__status,quota_definition__last_allocation_date,quota_definition__initial_volume,quota_definition__balance,quota_definition__fill_rate
21926,52023,North Macedonia,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,905000,905000,0
20906,52101,Argentina,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,23/08/2021,5994000,5708977.335,0.047551329
21927,52101,Argentina,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,5994000,5994000,0
20907,52102,Argentina,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,23/08/2021,5994000,5708977.335,0.047551329
21928,52102,Argentina,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,5994000,5994000,0
20908,52105,Australia,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,30/12/2021,15349000,3488880.087,0.772696587
21929,52105,Australia,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,18/03/2022,13335000,8363151.797,0.37284201
20909,52106,Australia,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,30/12/2021,15349000,3488880.087,0.772696587
21930,52106,Australia,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,18/03/2022,13335000,8363151.797,0.37284201
20910,52109,New Zealand,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,30/12/2021,114205000,76620218.89,0.329099261
21931,52109,New Zealand,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,22/03/2022,114205000,101642103.9,0.11000303
20911,52110,New Zealand,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,30/12/2021,114205000,76620218.89,0.329099261
21932,52110,New Zealand,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,22/03/2022,114205000,101642103.9,0.11000303
20912,52111,Uruguay,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,1041000,1041000,0
21933,52111,Uruguay,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,24/02/2022,1041000,1021285.65,0.018937896
20913,52112,Uruguay,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,1041000,1041000,0
21934,52112,Uruguay,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,24/02/2022,1041000,1021285.65,0.018937896
20914,52115,Chile,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,17/11/2021,1304000,1066398.305,0.182209889
22045,52115,Chile,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,16/03/2022,1304000,942315.03,0.277365775
22046,52115,Chile,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,1304000,#NA,0
20915,52116,Chile,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,17/11/2021,1304000,1066398.305,0.182209889
22051,52116,Chile,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,16/03/2022,1304000,942315.03,0.277365775
22052,52116,Chile,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,1304000,#NA,0
20916,52125,Greenland,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,52000,52000,0
21935,52125,Greenland,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,52000,52000,0
20917,52126,Greenland,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204100000|0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,52000,52000,0
21936,52126,Greenland,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204100000|0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,52000,52000,0
20107,52129,Faroe Islands,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,3000,3000,0
22049,52129,Faroe Islands,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,3000,3000,0
22050,52129,Faroe Islands,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,3000,#NA,0
20108,52130,Faroe Islands,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,3000,3000,0
22055,52130,Faroe Islands,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,3000,3000,0
22056,52130,Faroe Islands,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,3000,#NA,0
21080,52131,Turkey,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,33000,33000,0
22047,52131,Turkey,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,33000,33000,0
22048,52131,Turkey,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,33000,#NA,0
21081,52132,Turkey,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,33000,33000,0
22053,52132,Turkey,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,33000,33000,0
22054,52132,Turkey,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,33000,#NA,0
20918,52178,ERGA OMNES,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,19/01/2021,22000,1727.2,0.921490909
21937,52178,ERGA OMNES,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230011|0204230091|0204431000|0204503910|0204507910,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,14/03/2022,22000,21954.492,0.002068545
20919,52179,ERGA OMNES,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,19/01/2021,22000,1727.2,0.921490909
21938,52179,ERGA OMNES,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204230019|0204230099|0204439000|0204503990|0204507990,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,14/03/2022,22000,21954.492,0.002068545
20391,52450,South Korea,1604 – Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,1604200500,"Tonne (1,000 kg)",#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,100,100,0
20392,52457,South Korea,"5408 – Woven fabrics of artificial filament yarn, including woven fabrics obtained from materials of heading 5405",5408100000|5408210000|5408221010|5408221090|5408229010|5408229090|5408230000|5408240000|5408310000|5408320010|5408320090|5408330000|5408340000,Square metre (m2),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,1068320,1068320,0
20922,52776,ERGA OMNES,"0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0304711010|0304719010|0304952110|0304952510,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,30/12/2021,40140000,17519168.29,0.563548373
21939,52776,ERGA OMNES,"0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0304711010|0304719010|0304952110|0304952510,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,22/03/2022,40140000,35507451.68,0.115409774
20923,52777,ERGA OMNES,"0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304|0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0303670010|0304750010|0304949010,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,29/12/2021,31120000,10075380.98,0.676240971
21940,52777,ERGA OMNES,"0303 – Fish, frozen, excluding fish fillets and other fish meat of heading|0304|0304 – Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",0303670010|0304750010|0304949010,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,22/03/2022,31120000,25251325.95,0.188582071
20924,52794,ERGA OMNES,"1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1605219045|1605219062|1605290050|1605290055,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,09/11/2021,5680000,0,1
21941,52794,ERGA OMNES,"1605 – Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved",1605219045|1605219062|1605290050|1605290055,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,22/03/2022,6500000,4462753,0.313422615
20925,52798,ERGA OMNES,0306 – ,0306169920|0306169930|0306359012|0306359014|0306359092|0306359093,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,29/10/2021,620000,472295,0.238233871
21942,52798,ERGA OMNES,0306 – ,0306169920|0306169930|0306359012|0306359014|0306359092|0306359093,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,27/01/2022,620000,579500,0.065322581
20926,52802,ERGA OMNES,0306 – ,0306179220|0306369030,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,29/12/2021,10500000,3346596.4,0.681276533
21943,52802,ERGA OMNES,0306 – ,0306179220|0306369030,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,21/03/2022,10500000,9219409.8,0.121960971
20396,56700,Ukraine,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204225000|0204229000|0204230000|0204423000|0204425000|0204429000|0204431000|0204439000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,306000,306000,0
22043,56700,Ukraine,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204225000|0204229000|0204230000|0204423000|0204425000|0204429000|0204431000|0204439000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,306000,306000,0
22044,56700,Ukraine,"0204 – Meat of sheep or goats, fresh, chilled or frozen",0204225000|0204229000|0204230000|0204423000|0204425000|0204429000|0204431000|0204439000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,306000,#NA,0
20404,56701,Ukraine,0409 – Natural honey,409000000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,14/12/2021,1000000,0,1
22175,56701,Ukraine,0409 – Natural honey,409000000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,10/02/2022,1000000,895924.9,0.1040751
22176,56701,Ukraine,0409 – Natural honey,409000000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,1000000,#NA,0
20405,56702,Ukraine,"0703 – Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",703200000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,68000,68000,0
22237,56702,Ukraine,"0703 – Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",703200000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,68000,68000,0
22238,56702,Ukraine,"0703 – Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",703200000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,68000,#NA,0
20411,56703,Ukraine,1004 – Oats,1004000000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,545000,545000,0
22397,56703,Ukraine,1004 – Oats,1004000000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,545000,545000,0
22398,56703,Ukraine,1004 – Oats,1004000000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,545000,#NA,0
20406,56704,Ukraine,"1701 – Cane or beet sugar and chemically pure sucrose, in solid form|1702 – Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",1701120000|1701910000|1701990000|1702201000|1702903000|1702905000|1702907100|1702907500|1702907900|1702908000|1702909500,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,2734000,2734000,0
22501,56704,Ukraine,"1701 – Cane or beet sugar and chemically pure sucrose, in solid form|1702 – Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",1701120000|1701910000|1701990000|1702201000|1702903000|1702905000|1702907100|1702907500|1702907900|1702908000|1702909500,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,2734000,2734000,0
22502,56704,Ukraine,"1701 – Cane or beet sugar and chemically pure sucrose, in solid form|1702 – Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",1701120000|1701910000|1701990000|1702201000|1702903000|1702905000|1702907100|1702907500|1702907900|1702908000|1702909500,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,2734000,#NA,0
20407,56705,Ukraine,"1702 – Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",1702300000|1702400000|1702600000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,2724000,2724000,0
22521,56705,Ukraine,"1702 – Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",1702300000|1702400000|1702600000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,2724000,2724000,0
22522,56705,Ukraine,"1702 – Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",1702300000|1702400000|1702600000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,2724000,#NA,0
20408,56706,Ukraine,2106 – Food preparations not elsewhere specified or included,2106903000|2106905500|2106905900,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,272000,272000,0
22671,56706,Ukraine,2106 – Food preparations not elsewhere specified or included,2106903000|2106905500|2106905900,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,272000,272000,0
22672,56706,Ukraine,2106 – Food preparations not elsewhere specified or included,2106903000|2106905500|2106905900,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,272000,#NA,0
20413,56707,Ukraine,"1103 – Cereal groats, meal and pellets|1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground",1103192010|1103199000|1103209000|1104191000|1104195000|1104196100|1104196900|1104290400|1104290500|1104290800|1104291790|1104293090|1104295100|1104295900|1104298100|1104298900|1104300000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Exhausted,26/08/2021,1062000,0,1
22417,56707,Ukraine,"1103 – Cereal groats, meal and pellets|1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground",1103192010|1103199000|1103209000|1104191000|1104195000|1104196100|1104196900|1104290400|1104290500|1104290800|1104291790|1104293090|1104295100|1104295900|1104298100|1104298900|1104300000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Critical,17/03/2022,1062000,458010,0.568728814
22418,56707,Ukraine,"1103 – Cereal groats, meal and pellets|1104 – Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading|1006; germ of cereals, whole, rolled, flaked or ground",1103192010|1103199000|1103209000|1104191000|1104195000|1104196100|1104196900|1104290400|1104290500|1104290800|1104291790|1104293090|1104295100|1104295900|1104298100|1104298900|1104300000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,1062000,#NA,0
20414,56708,Ukraine,"1107 – Malt, whether or not roasted|1109 – Wheat gluten, whether or not dried",1107000000|1109000000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,953000,953000,0
22423,56708,Ukraine,"1107 – Malt, whether or not roasted|1109 – Wheat gluten, whether or not dried",1107000000|1109000000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,953000,953000,0
22424,56708,Ukraine,"1107 – Malt, whether or not roasted|1109 – Wheat gluten, whether or not dried",1107000000|1109000000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,953000,#NA,0
20415,56709,Ukraine,1108 – Starches; inulin,1108110000|1108120000|1108130000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,24/08/2021,1362000,1325250,0.026982379
22425,56709,Ukraine,1108 – Starches; inulin,1108110000|1108120000|1108130000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,15/03/2022,1362000,1333000,0.021292217
22426,56709,Ukraine,1108 – Starches; inulin,1108110000|1108120000|1108130000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,1362000,#NA,0
20416,56710,Ukraine,"3505 – Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches",3505101000|3505109000|3505203000|3505205000|3505209000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,272000,272000,0
22747,56710,Ukraine,"3505 – Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches",3505101000|3505109000|3505203000|3505205000|3505209000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,272000,272000,0
22748,56710,Ukraine,"3505 – Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches",3505101000|3505109000|3505203000|3505205000|3505209000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,272000,#NA,0
20417,56711,Ukraine,"2302 – Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants|2303 – Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets",2302100000|2302300000|2302401000|2302409000|2303101100,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,23/09/2021,2860000,1835000,0.358391608
22725,56711,Ukraine,"2302 – Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants|2303 – Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets",2302100000|2302300000|2302401000|2302409000|2303101100,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,22/03/2022,2860000,2660000,0.06993007
22726,56711,Ukraine,"2302 – Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants|2303 – Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets",2302100000|2302300000|2302401000|2302409000|2303101100,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,2860000,#NA,0
20418,56712,Ukraine,"0711 – Vegetables provisionally preserved, but unsuitable in that state for immediate consumption|2003 – Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",0711510000|2003100000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,68000,68000,0
22319,56712,Ukraine,"0711 – Vegetables provisionally preserved, but unsuitable in that state for immediate consumption|2003 – Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",0711510000|2003100000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,68000,68000,0
22320,56712,Ukraine,"0711 – Vegetables provisionally preserved, but unsuitable in that state for immediate consumption|2003 – Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",0711510000|2003100000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,68000,#NA,0
20419,56713,Ukraine,"0711 – Vegetables provisionally preserved, but unsuitable in that state for immediate consumption",711510000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,68000,68000,0
22321,56713,Ukraine,"0711 – Vegetables provisionally preserved, but unsuitable in that state for immediate consumption",711510000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,68000,68000,0
22322,56713,Ukraine,"0711 – Vegetables provisionally preserved, but unsuitable in that state for immediate consumption",711510000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,68000,#NA,0
20420,56714,Ukraine,2002 – Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,2002000000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,17/12/2021,2000000,1765883,0.1170585
22599,56714,Ukraine,2002 – Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,2002000000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,21/03/2022,2000000,1864903,0.0675485
22600,56714,Ukraine,2002 – Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,2002000000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,2000000,#NA,0
20421,56715,Ukraine,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009619000|2009691100|2009697100|2009697900|2009699000|2009710000|2009790000,Kilogram (kg),#NA,#NA,01/01/2021,31/12/2021,#NA,#NA,Closed,#NA,2724000,2724000,0
22653,56715,Ukraine,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009619000|2009691100|2009697100|2009697900|2009699000|2009710000|2009790000,Kilogram (kg),#NA,#NA,01/01/2022,31/12/2022,#NA,#NA,Open,#NA,2724000,2724000,0
22654,56715,Ukraine,"2009 – Fruit or nut juices (including grape must and coconut water) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",2009619000|2009691100|2009697100|2009697900|2009699000|2009710000|2009790000,Kilogram (kg),#NA,#NA,01/01/2023,31/12/2023,#NA,#NA,Future,#NA,2724000,#NA,0
